ein1,ein2,weight
13-0433430,13-1084330,1
13-1084330,13-0433430,1
13-2911127,95-3298239,1
13-2912529,53-0218495,1
13-6217788,36-7244615,1
13-6217788,52-2166327,1
20-1658710,23-7432162,1
20-1957878,23-7432162,1
20-1957878,54-1436224,1
20-4707442,73-0667344,2
23-7042029,52-1226614,1
23-7042029,54-1672138,1
23-7135837,52-1400302,2
23-7432162,20-1658710,1
23-7432162,20-1957878,1
23-7432162,52-1527294,1
23-7432162,95-3298239,3
23-7433827,52-1289734,1
25-1113452,25-1704173,1
25-1113452,25-6012303,1
25-1704173,25-1113452,1
25-1704173,25-1704705,1
25-1704705,25-1704173,1
25-6012303,25-1113452,1
35-1320021,35-6056960,7
35-6056960,35-1320021,7
36-7244615,13-6217788,1
36-7244615,52-2166327,2
36-7244615,53-0218495,2
36-7244615,54-1934032,1
36-7244615,56-0611550,1
36-7244615,81-0393444,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
38-2926822,54-1934032,1
41-1275875,54-1934032,1
41-1275875,94-3170425,1
43-1244445,38-2926822,1
43-1244445,44-6015127,2
44-6015127,38-2926822,1
44-6015127,43-1244445,2
48-0918408,54-1436224,2
52-0991278,52-1799853,1
52-1009116,52-1122683,5
52-1122683,52-1009116,5
52-1226614,23-7042029,1
52-1289734,23-7433827,1
52-1289734,94-3008370,1
52-1349353,52-1526916,4
52-1351785,81-0393444,1
52-1351785,94-2763845,1
52-1351785,95-3298239,1
52-1400302,23-7135837,2
52-1400492,52-1403587,3
52-1403587,52-1400492,3
52-1455677,77-0099744,1
52-1526916,52-1349353,4
52-1527294,23-7432162,1
52-1527294,75-3148958,2
52-1527294,95-3298239,1
52-1799853,52-0991278,1
52-1799853,52-1916480,1
52-1916480,52-1799853,1
52-1928321,54-1436224,1
52-2166327,13-6217788,1
52-2166327,36-7244615,2
52-2166327,54-1934032,1
52-2166327,57-0952531,1
52-2166327,81-0393444,1
52-2166327,94-6080099,1
53-0218495,13-2912529,1
53-0218495,36-7244615,2
53-0218495,54-1934032,1
53-0218495,56-0611550,1
54-1436224,20-1957878,1
54-1436224,48-0918408,2
54-1436224,52-1928321,1
54-1672138,23-7042029,1
54-1672138,57-0952531,1
54-1934032,36-7244615,1
54-1934032,38-2926822,1
54-1934032,41-1275875,1
54-1934032,52-2166327,1
54-1934032,53-0218495,1
54-1934032,56-0611550,1
54-1934032,57-0952531,1
54-1934032,76-0149778,1
54-1934032,81-0393444,1
54-1934032,94-3170425,1
56-0611550,36-7244615,1
56-0611550,53-0218495,1
56-0611550,54-1934032,1
57-0952531,52-2166327,1
57-0952531,54-1672138,1
57-0952531,54-1934032,1
58-1247027,94-3170425,1
73-0606209,73-1436375,1
73-0667344,20-4707442,2
73-1436375,73-0606209,1
75-3148958,52-1527294,2
76-0149778,54-1934032,1
77-0099744,52-1455677,1
81-0393444,36-7244615,1
81-0393444,52-1351785,1
81-0393444,52-2166327,1
81-0393444,54-1934032,1
81-0393444,84-0990300,1
81-0393444,94-2528433,1
81-0393444,95-3298239,3
84-0990300,81-0393444,1
94-2528433,81-0393444,1
94-2763845,52-1351785,1
94-3008370,52-1289734,1
94-3170425,41-1275875,1
94-3170425,54-1934032,1
94-3170425,58-1247027,1
94-6080099,52-2166327,1
95-3298239,13-2911127,1
95-3298239,23-7432162,3
95-3298239,52-1351785,1
95-3298239,52-1527294,1
95-3298239,81-0393444,3
