ein1,ein2,weight
23-7042029,51-0280185,1
23-7042029,54-1672138,1
23-7135837,52-1400302,2
23-7432162,43-1244445,1
23-7432162,44-6015127,1
23-7432162,52-1527294,1
23-7432162,95-3298239,1
23-7433827,52-1289734,1
25-1113452,25-6012303,1
25-1113452,41-1275875,1
25-6012303,25-1113452,1
25-6012303,41-1275875,1
35-1320021,35-6056960,7
35-6056960,35-1320021,7
36-3309812,94-2528433,1
36-7244615,39-6064733,1
36-7244615,52-2166327,1
36-7244615,53-0218495,1
36-7244615,54-1670627,1
36-7244615,54-1934032,1
38-2701547,57-0952531,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
39-6064733,36-7244615,1
39-6064733,52-2166327,1
39-6064733,54-1670627,1
41-1275875,25-1113452,1
41-1275875,25-6012303,1
41-1275875,54-1934032,1
43-1244445,23-7432162,1
43-1244445,38-2926822,1
43-1244445,44-6015127,2
44-6015127,23-7432162,1
44-6015127,38-2926822,1
44-6015127,43-1244445,2
51-0280185,23-7042029,1
51-0280185,54-1672138,1
52-0140979,74-2622129,1
52-1071570,52-1289734,2
52-1289734,23-7433827,1
52-1289734,52-1071570,2
52-1400302,23-7135837,2
52-1455677,52-1527294,1
52-1527294,23-7432162,1
52-1527294,52-1455677,1
52-1527294,95-3298239,1
52-2166327,36-7244615,1
52-2166327,39-6064733,1
52-2166327,54-1670627,1
52-2166327,54-1934032,1
53-0218495,36-7244615,1
53-0218495,54-1934032,1
53-0218495,94-3264446,1
54-1436224,95-3298239,1
54-1670627,36-7244615,1
54-1670627,39-6064733,1
54-1670627,52-2166327,1
54-1670627,74-2524057,1
54-1670627,94-2528433,1
54-1672138,23-7042029,1
54-1672138,51-0280185,1
54-1770697,57-0952531,1
54-1770697,94-2763845,1
54-1770697,95-3298239,1
54-1934032,36-7244615,1
54-1934032,41-1275875,1
54-1934032,52-2166327,1
54-1934032,53-0218495,1
54-1934032,94-3008370,1
57-0952531,38-2701547,1
57-0952531,54-1770697,1
57-0952531,94-2763845,1
74-2524057,54-1670627,1
74-2622129,52-0140979,1
94-2528433,36-3309812,1
94-2528433,54-1670627,1
94-2763845,54-1770697,1
94-2763845,57-0952531,1
94-3008370,54-1934032,1
94-3264446,53-0218495,1
95-3298239,23-7432162,1
95-3298239,52-1527294,1
95-3298239,54-1436224,1
95-3298239,54-1770697,1
