ein1,ein2,weight
13-2911127,54-1645372,1
13-2912529,13-6217788,1
13-2912529,52-2166327,1
13-6006960,38-2926822,1
13-6006960,43-1244445,1
13-6006960,44-6015127,1
13-6006960,54-1934032,1
13-6006960,74-2543375,1
13-6217788,13-2912529,1
13-6217788,52-2166327,1
23-7002632,52-1358144,1
23-7042029,51-0280185,1
23-7042029,54-1672138,1
23-7135837,52-1400302,3
23-7135837,52-1885088,1
23-7432162,43-1244445,1
23-7432162,44-6015127,1
23-7432162,52-1527294,1
23-7432162,95-3298239,3
23-7433827,52-1289734,2
35-1320021,35-6056960,9
35-6056960,35-1320021,9
36-7244615,52-2166327,1
36-7244615,53-0218495,1
36-7244615,54-1670627,1
36-7244615,54-1934032,1
36-7244615,56-0611550,1
38-2701547,57-0952531,1
38-2926822,13-6006960,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
41-1275875,54-1934032,1
41-1275875,94-3170425,1
43-1244445,13-6006960,1
43-1244445,23-7432162,1
43-1244445,38-2926822,1
43-1244445,44-6015127,2
44-6015127,13-6006960,1
44-6015127,23-7432162,1
44-6015127,38-2926822,1
44-6015127,43-1244445,2
48-0918408,54-1436224,3
51-0280185,23-7042029,1
51-0280185,54-1672138,1
52-1071570,52-1289734,1
52-1289734,23-7433827,2
52-1289734,52-1071570,1
52-1351785,91-1752769,1
52-1351785,94-2763845,1
52-1351785,95-3298239,1
52-1358144,23-7002632,1
52-1363952,75-2542403,1
52-1400302,23-7135837,3
52-1526916,95-3298239,1
52-1527294,23-7432162,1
52-1527294,54-1670627,1
52-1527294,54-1770697,1
52-1527294,95-3298239,1
52-1885088,23-7135837,1
52-1928321,54-1436224,1
52-2166327,13-2912529,1
52-2166327,13-6217788,1
52-2166327,36-7244615,1
52-2166327,54-1670627,1
52-2166327,54-1934032,1
52-2166327,94-6080099,1
53-0218495,36-7244615,1
53-0218495,54-1934032,1
53-0218495,56-0611550,1
53-0218495,94-3264446,1
54-1436224,48-0918408,3
54-1436224,52-1928321,1
54-1645372,13-2911127,1
54-1670627,36-7244615,1
54-1670627,52-1527294,1
54-1670627,52-2166327,1
54-1670627,74-2524057,1
54-1670627,94-2528433,1
54-1672138,23-7042029,1
54-1672138,51-0280185,1
54-1770697,52-1527294,1
54-1770697,57-0952531,1
54-1770697,94-2763845,1
54-1934032,13-6006960,1
54-1934032,36-7244615,1
54-1934032,41-1275875,1
54-1934032,52-2166327,1
54-1934032,53-0218495,1
54-1934032,56-0611550,1
54-1934032,76-0149778,1
54-1934032,94-3170425,1
56-0611550,36-7244615,1
56-0611550,53-0218495,1
56-0611550,54-1934032,1
57-0952531,38-2701547,1
57-0952531,54-1770697,1
57-0952531,94-2763845,1
65-0415977,81-0393444,1
74-2524057,54-1670627,1
74-2543375,13-6006960,1
75-2542403,52-1363952,1
76-0149778,54-1934032,1
81-0393444,65-0415977,1
81-0393444,84-0990300,1
81-0393444,95-3298239,1
84-0990300,81-0393444,1
91-1752769,52-1351785,1
94-2528433,54-1670627,1
94-2763845,52-1351785,1
94-2763845,54-1770697,1
94-2763845,57-0952531,1
94-3170425,41-1275875,1
94-3170425,54-1934032,1
94-3264446,53-0218495,1
94-6080099,52-2166327,1
95-3298239,23-7432162,3
95-3298239,52-1351785,1
95-3298239,52-1526916,1
95-3298239,52-1527294,1
95-3298239,81-0393444,1
